
:==== MTMNet: Multi-task Learning with Minimal Data for Source-free Cross-domain Few-shot Semantic Segmentation =====
|            benchmark: deepglobe               
|             datapath: F:\\****\\CDFSSDataSet\\Target domains
|                nshot: 1                       
|             adapt_to: first-episode           
|       postprocessing: dynamic                 
|              logpath: ./logs                  
|            verbosity: 0                       
|             backbone: resnet50                
|              nworker: 0                       
|                  bsz: 1                       
|                 fold: 0   
:================================================
                    
[Epoch: 00] [Batch: 2301/12533] L: 0.00000  Avg L: 0.00000  mIoU: 45.95  |  FB-IoU: 46.04
[Epoch: 00] [Batch: 2351/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.00  |  FB-IoU: 46.09
[Epoch: 00] [Batch: 2401/12533] L: 0.00000  Avg L: 0.00000  mIoU: 45.96  |  FB-IoU: 46.05
[Epoch: 00] [Batch: 2451/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.02  |  FB-IoU: 46.09
[Epoch: 00] [Batch: 2501/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.00  |  FB-IoU: 46.13
[Epoch: 00] [Batch: 2551/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.02  |  FB-IoU: 46.18
[Epoch: 00] [Batch: 2601/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.11  |  FB-IoU: 46.28
[Epoch: 00] [Batch: 2651/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.15  |  FB-IoU: 46.34
[Epoch: 00] [Batch: 2701/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.20  |  FB-IoU: 46.37
[Epoch: 00] [Batch: 2751/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.18  |  FB-IoU: 46.39
[Epoch: 00] [Batch: 2801/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.09  |  FB-IoU: 46.32
[Epoch: 00] [Batch: 2851/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.11  |  FB-IoU: 46.34
[Epoch: 00] [Batch: 2901/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.00  |  FB-IoU: 46.23
[Epoch: 00] [Batch: 2951/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.12  |  FB-IoU: 46.33
[Epoch: 00] [Batch: 3001/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.18  |  FB-IoU: 46.43
[Epoch: 00] [Batch: 3051/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.13  |  FB-IoU: 46.39
[Epoch: 00] [Batch: 3101/12533] L: 0.00000  Avg L: 0.00000  mIoU: 46.03  |  FB-IoU: 46.30
